YEAR,MO,DY,Temperature,Relative_Humidity,Specific_Humidity,Precipitation,Pressure,Wind_Speed,Wind_Direction
2000,1,1,25.51,83,16.85,0,100.32,2.62,94.56
2000,1,2,25.76,80.69,16.6,0.03,100.32,2.36,67.56
2000,1,3,25.76,81.94,16.78,1.61,100.31,2.04,62.62
2000,1,4,25.87,83,17.15,1.07,100.3,1.85,88
2000,1,5,26.12,83.81,17.52,0,100.4,2.32,93
2000,1,6,25.13,87.31,17.33,0.16,100.43,1.88,116.88
2000,1,7,25.58,86.69,17.64,0.04,100.44,1.96,109.19
2000,1,8,25.87,79.19,16.3,0,100.45,1.05,139
2000,1,9,24.64,80.69,15.44,0,100.46,2.02,162.56
2000,1,10,25.55,80.12,16.17,0.02,100.38,1.82,86.94
2000,1,11,25.69,86.69,17.76,0.04,100.39,2.16,95
2000,1,12,25.73,84.44,17.21,0,100.38,2.78,111.56
2000,1,13,25.61,83.38,16.91,0,100.31,2.22,111.88
2000,1,14,25.31,85.38,17.03,0,100.29,2.34,120.75
2000,1,15,25.48,82.5,16.54,0.03,100.34,1.66,94.25
2000,1,16,25.92,81.44,16.66,0.02,100.44,1.8,96.69
2000,1,17,26.29,80.81,16.85,0,100.45,1.88,105.19
2000,1,18,26.05,80.44,16.72,0.13,100.59,1.59,78.56
2000,1,19,25.1,78.94,15.44,0.15,100.63,2,94.44
2000,1,20,24.61,78.69,14.95,0.74,100.65,1.8,64.56
2000,1,21,23.33,76.31,13.37,0.12,100.79,2.5,33.31
2000,1,22,24.11,78.62,14.59,0.05,100.64,2.27,121.5
2000,1,23,25.29,83.5,16.66,4.33,100.5,2.39,151.38
2000,1,24,25.56,85.25,17.27,0.38,100.56,3.11,126.44
2000,1,25,25.16,78.38,15.38,0,100.63,3.14,57.38
2000,1,26,24.8,74.56,14.34,0.1,100.7,3.27,48.81
2000,1,27,23.67,76.12,13.61,0.47,100.73,4.12,35.94
2000,1,28,23.56,73.06,13,0,100.77,3.19,28
2000,1,29,23.97,75,13.73,0,100.81,2.95,110.94
2000,1,30,23.79,74.44,13.43,0.09,100.94,2.82,50.38
2000,1,31,24.01,72.06,13.12,0,100.9,3.09,29.56
2000,2,1,24.36,71.19,13.31,0,100.78,2.38,37.56
2000,2,2,24.15,69.88,12.76,0,100.79,2.01,146.94
2000,2,3,25.03,70.19,13.61,0.07,100.72,1.68,155.06
2000,2,4,26.12,72.44,14.95,0.12,100.49,1.51,86.94
2000,2,5,26.22,71.5,14.71,0,100.42,1.9,47.56
2000,2,6,26.01,72.44,14.95,0.42,100.37,1.79,124.44
2000,2,7,24.49,78.75,14.95,2.09,100.39,1.51,62.25
2000,2,8,25.43,72.5,14.34,0.03,100.4,1.84,78.62
2000,2,9,25.05,71.81,13.98,0.01,100.43,1.73,130.56
2000,2,10,26.17,70.5,14.22,0.01,100.45,1.98,221.38
2000,2,11,26.24,72.19,14.59,0,100.43,1.86,149.75
2000,2,12,26.62,73.12,15.26,0,100.34,1.92,194.88
2000,2,13,27.27,76.62,16.97,0,100.26,2.68,90.69
2000,2,14,27.1,77,16.91,0,100.29,2.98,106.5
2000,2,15,26.68,76.56,16.36,0,100.39,2.51,97.69
2000,2,16,27.24,67.81,14.83,0,100.37,2.62,92.25
2000,2,17,27.78,69.94,15.81,0,100.35,2.97,78.94
2000,2,18,27.13,70.19,15.32,0.06,100.35,4.45,101.56
2000,2,19,26.62,75.12,16.05,10.53,100.36,3.38,118.56
2000,2,20,26.23,80.69,16.85,0.08,100.36,2.36,125.25
2000,2,21,26.53,80.62,17.15,0,100.39,2.72,136.94
2000,2,22,27.22,77.81,17.15,0.03,100.4,2.72,129.25
2000,2,23,27.73,77.44,17.52,0.01,100.36,2.81,136.12
2000,2,24,28.05,74.56,16.85,0.29,100.38,3.28,135
2000,2,25,27.36,77.56,17.15,6.21,100.4,2.52,123.31
2000,2,26,27.21,68.19,14.89,0.03,100.34,2.85,59.94
2000,2,27,26.01,70.5,14.53,7.35,100.43,2.2,74.81
2000,2,28,25.89,76.56,15.69,4.5,100.51,2.95,110.81
2000,2,29,27.14,69.19,14.89,0.32,100.46,3.8,82.94
2000,3,1,27.44,66.38,14.59,0,100.47,3.93,78.31
2000,3,2,28.02,68.81,15.75,0,100.45,2.56,77.69
2000,3,3,29.08,64.5,15.5,0,100.44,2.49,109.12
2000,3,4,28.8,69.62,16.48,0.01,100.39,2.23,248.88
2000,3,5,28.44,70.56,16.3,1.34,100.26,2.56,255.31
2000,3,6,27.37,79.5,17.7,12.57,100.29,1.94,209.06
2000,3,7,27.73,74.38,16.72,0.05,100.38,2.41,139.94
2000,3,8,27.51,79.31,17.88,6.51,100.4,1.89,228.5
2000,3,9,28.4,71.62,16.66,0,100.36,1.63,225.06
2000,3,10,28.98,68.5,16.36,0,100.33,2.04,89.12
2000,3,11,28.28,72,16.85,0.1,100.32,3.9,134.19
2000,3,12,28.26,73.31,17.09,0,100.27,3.19,144.75
2000,3,13,28.26,74.38,17.27,2.77,100.33,2.35,141.75
2000,3,14,27.47,75.25,16.72,9.3,100.4,4.15,134.44
2000,3,15,27.23,72.56,15.93,0,100.33,1.93,131.25
2000,3,16,27.48,76.5,17.21,0.01,100.23,2.15,184.69
2000,3,17,28.47,71.25,16.72,0.06,100.14,2.81,143.25
2000,3,18,28.71,66.81,15.62,0,100.2,3.27,121.12
2000,3,19,28.73,65.69,15.26,0.04,100.23,2.95,129.62
2000,3,20,28.87,65.94,15.44,0,100.21,3.4,130.56
2000,3,21,29.13,61.06,14.28,0,100.29,2.84,109.56
2000,3,22,28.2,68.75,15.81,0.01,100.37,3.19,125.69
2000,3,23,29.37,62.5,14.71,0,100.34,2.67,103.06
2000,3,24,29.44,57.19,13.79,0.07,100.35,2.81,116.75
2000,3,25,29.65,55.25,13.61,0.19,100.38,2.67,126.31
2000,3,26,28.85,62.38,14.89,7.96,100.43,3.94,74.81
2000,3,27,28.35,65.25,15.08,2.91,100.45,3.33,82.69
2000,3,28,29.13,63.19,15.14,0.04,100.41,2.86,143.94
2000,3,29,29.89,56.19,13.79,0.04,100.43,3.55,108.69
2000,3,30,29.53,59.62,14.59,0.16,100.3,3.62,119.44
2000,3,31,29.23,62.06,14.83,0,100.21,3.62,136.06
2000,4,1,29.23,67.94,16.54,0.02,100.11,2.8,144.56
2000,4,2,29.86,64,16.24,0,100.19,2.29,144.31
2000,4,3,30.52,61.94,15.81,0.04,100.23,3.29,162.5
2000,4,4,30.18,61.19,15.75,0,100.18,3.12,152.44
2000,4,5,30.4,56.81,14.4,0.01,100.24,3.76,136.69
2000,4,6,30.87,56.81,14.83,0,100.25,4.38,123.75
2000,4,7,31.12,53.38,13.92,0.04,100.29,2.7,135.5
2000,4,8,30.09,63.44,16.3,1.7,100.21,2.8,204.44
2000,4,9,29.47,66.19,16.6,0.42,100.16,4.12,97.06
2000,4,10,30.01,62.06,15.87,0.03,100.21,5.96,118
2000,4,11,28.83,63.56,15.32,0.06,100.37,4.98,109.38
2000,4,12,28.42,67.19,15.93,0.38,100.27,4.53,119.06
2000,4,13,28.01,73.75,17.09,8.25,100.18,4.59,131.62
2000,4,14,28.88,70.44,16.91,1.4,100.09,3.89,149.38
2000,4,15,29.22,70.12,17.21,0.78,100.2,3.15,149.38
2000,4,16,29.03,72.81,17.64,4.72,100.25,3.52,142.69
2000,4,17,28.73,71.25,17.15,0.06,100.33,2.34,118.94
2000,4,18,29.98,66.06,16.48,0.05,100.36,3.98,132.19
2000,4,19,29.53,67.69,16.85,0.32,100.33,3.7,145.12
2000,4,20,29,71.69,17.58,0.09,100.24,3.26,143.19
2000,4,21,29.7,70,17.7,0.03,100.19,3.51,136
2000,4,22,29.91,68.56,17.52,4.41,100.25,3.76,148.94
2000,4,23,29.44,71.94,17.88,4.94,100.27,2.93,146.56
2000,4,24,28.94,76.69,18.86,11.57,100.2,2.35,202.88
2000,4,25,29.24,73.69,18.37,0.33,100.15,2.9,179.69
2000,4,26,29.95,69.62,17.88,0.04,100.21,2.71,181.12
2000,4,27,30.05,69.62,18.01,0.01,100.22,2.02,187.5
2000,4,28,30.38,67.19,17.58,0.1,100.27,2.71,150.81
2000,4,29,29.87,68.56,17.46,0.07,100.44,3.77,130.75
2000,4,30,29.74,68.62,17.21,0.08,100.45,3.05,128
2000,5,1,29.52,69.56,17.52,0.15,100.38,1.97,178.69
2000,5,2,29.22,73.5,18.25,17.38,100.39,1.33,180.06
2000,5,3,28.9,77.38,18.92,14.36,100.38,1.9,176.44
2000,5,4,27.54,83.25,18.92,27.29,100.41,3.02,142.88
2000,5,5,27.37,80.25,17.94,0.12,100.53,2.3,113.38
2000,5,6,28.36,73.5,17.27,0.01,100.53,2.56,123.5
2000,5,7,27.67,77.5,17.64,4.31,100.5,2.05,178.19
2000,5,8,28.9,72.69,17.46,0.37,100.31,2.03,176.62
2000,5,9,28.34,77.62,18.49,4.05,100.17,2.27,204.88
2000,5,10,28.43,79.81,19.17,5.05,100.04,2.79,241.38
2000,5,11,27.54,85.12,19.53,11.26,100.04,2.62,232.12
2000,5,12,27.23,87.31,19.71,53.11,100,3.31,242.75
2000,5,13,26.75,88.44,19.41,6.49,100.05,3.54,235
2000,5,14,27.29,84.94,19.17,3.91,100.16,3.93,245.38
